Unique_Squirrel_Id,Latitude,Longitude,Shift,Date,Age,Location,Specific_Location,Primary_Fur_Color,Running,Chasing,Climbing,Eating,Foraging,Other_Activities,Kuks,Quaas,Moans,Tail_flags,Tail_twitches,Approaches,Indifferent,Runs_from
37F-PM-1014-03,40.79408239,-73.95613449,AM,2018-10-14,adult,ground plane,Unknown,black,False,False,False,False,False,Unknown,False,False,False,False,False,False,False,False
37E-PM-1006-03,40.79487929,-73.95696709,PM,2018-10-06,Adult,Ground Plane,,Gray,True,False,False,False,False,,False,False,False,False,False,False,False,True
2E-AM-1010-03,40.76671781,-73.97683118,AM,2018-10-10,adult,ground plane,Unknown,black,False,False,True,False,False,Unknown,False,False,False,False,False,False,True,False
5D-PM-1018-05,40.76970326,-73.97572498,PM,2018-10-18,Juvenile,Above Ground,,Gray,False,False,True,False,False,,False,False,False,False,False,False,False,True
39B-AM-1018-01,40.79753337,-73.95931267,AM,2018-10-18,,Above Ground,,,False,False,False,False,False,Unknown,True,False,False,False,False,False,False,False
33H-AM-1019-02,40.7902561,-73.95657004,AM,2018-10-19,Juvenile,Ground Plane,,Gray,False,False,False,False,False,Wrestling With Mother,False,False,False,False,False,False,False,False
6G-PM-1020-02,40.76930451,-73.97197356,PM,2018-10-20,Adult,Ground Plane,,Gray,True,True,False,False,False,,False,False,False,False,False,False,True,False
35C-PM-1013-03,40.7942883,-73.96026099,PM,2018-10-13,,Ground Plane,,Gray,False,False,False,False,True,,False,False,False,False,False,False,False,True
7B-AM-1008-09,40.77297524,-73.97707186,PM,2018-10-08,adult,ground plane,,black,False,False,False,False,True,,False,False,False,False,False,False,True,False
32E-PM-1017-14,40.79031289,-73.95964139,PM,2018-10-17,Adult,,,Gray,False,False,False,True,True,,False,False,False,False,False,False,False,True
13E-AM-1017-05,40.77621269,-73.97026765,AM,2018-10-17,Adult,Above Ground,on tree stump,Gray,False,False,False,False,True,,False,False,False,False,False,False,False,False
11H-AM-1010-03,40.77259088,-73.96836135,AM,2018-10-10,Adult,,,Cinnamon,False,False,False,False,True,,False,False,False,False,True,False,True,False
36H-AM-1010-02,40.79318117,-73.95412018,AM,2018-10-10,Adult,Ground Plane,,Gray,False,False,False,False,True,,False,False,False,False,False,False,False,False
33F-AM-1008-02,40.79173678,-73.95826943,AM,2018-10-08,Adult,Ground Plane,,Gray,False,False,False,False,True,,False,False,False,False,False,False,True,False
21C-PM-1006-01,40.78297239,-73.9674286,PM,2018-10-06,Adult,Ground Plane,,Gray,False,False,False,False,False,,False,False,False,True,True,False,False,False
11D-AM-1010-03,40.77428796,-73.97225002,AM,2018-10-10,Adult,Above Ground,,Gray,False,False,True,False,False,Grooming,False,False,False,False,False,False,True,False
20B-PM-1013-05,40.78235077,-73.96950635,PM,2018-10-13,Adult,Ground Plane,,Gray,False,False,False,False,True,,False,False,False,False,False,False,True,False
36I-PM-1007-01,40.79196697,-73.95321705,PM,2018-10-07,Adult,Ground Plane,,Gray,False,False,False,False,True,,False,False,False,False,False,False,True,False
5C-PM-1010-09,40.77027959,-73.97686036,PM,2018-10-10,Adult,Ground Plane,,Cinnamon,True,False,False,False,False,,False,False,False,False,False,False,False,False
